txid,date,ptid,pfna,plna,tx,is_tx,tsna_fr,tsna_to,tsna_last,tgid_fr,tgid_to,tgid_last,text,full_c_tx,pfna_c_tx,plna_c_tx,pos_tx,pos_group_tx,pos_unit_tx,pgid,full_c,pfna_c,plna_c,pos,pos_group,pos_unit,page,povr,tsna,tgid,score_full,score_pfna,score_plna,match_pg,match_pu,match_fr,match_to,match_la
30,2004-02-11,640.0,Mike,Houghton,sign,1,FA,CAR,,1009.0,21.0,,The Carolina Panthers signed OL Mike Houghton.,mike houghton,mike,houghton,OL,,OL,16997,mike houghton,mike,houghton,RT,T,OL,24,59,FA,1009,1.0,1.0,1.0,0,1,1,0,0
137,2004-03-03,330.0,Matt,Cushing,sign,1,FA,PIT,,1009.0,29.0,,The Pittsburgh Steelers signed TE Matt Cushing.,matt cushing,matt,cushing,TE,TE,TE,1688,matt cushing,matt,cushing,TE,TE,TE,27,53,FA,1009,1.0,1.0,1.0,1,1,1,0,0
156,2004-03-03,1154.0,Micah,Ross,sign,1,FA,SD,,1009.0,8.0,,The San Diego Chargers signed WR Micah Ross.,micah ross,micah,ross,WR,WR,WR,15434,micah ross,micah,ross,WR,WR,WR,28,65,FA,1009,1.0,1.0,1.0,1,1,1,0,0
273,2004-03-09,1229.0,Dainon,Sidney,sign,1,FA,DET,,1009.0,19.0,,The Detroit Lions signed CB Dainon Sidney.,dainon sidney,dainon,sidney,CB,CB,DB,1725,dainon sidney,dainon,sidney,CB,CB,DB,29,67,FA,1009,1.0,1.0,1.0,1,1,1,0,0
318,2004-03-12,94.0,Marcus,Bell,sign,1,FA,HOU,,1009.0,32.0,,The Houston Texans signed LB Marcus Bell.,marcus bell,marcus,bell,LB,LB,LB,1621,marcus bell,marcus,bell,LOLB,LB,LB,27,66,FA,1009,1.0,1.0,1.0,1,1,1,0,0
359,2004-03-16,1121.0,Wade,Richey,sign,1,FA,BAL,,1009.0,25.0,,The Baltimore Ravens signed K Wade Richey.,wade richey,wade,richey,K,K,KP,958,wade richey,wade,richey,K,K,KP,28,74,FA,1009,1.0,1.0,1.0,1,1,1,0,0
405,2004-03-22,191.0,Joe,Burns,resign,1,BUF,BUF,,3.0,3.0,,The Buffalo Bills re-signed FB/R Joe Burns.,joe burns,joe,burns,FB,FB,RB,14956,joe burns,joe,burns,FB,FB,RB,24,70,FA,1009,1.0,1.0,1.0,1,1,0,0,0
442,2004-03-23,722.0,Garrick,Jones,resign,1,HOU,HOU,,32.0,32.0,,The Houston Texans re-signed OT Garrick Jones.,garrick jones,garrick,jones,T,T,OL,17244,garrick jones,garrick,jones,LT,T,OL,25,58,FA,1009,1.0,1.0,1.0,1,1,0,0,0
481,2004-03-26,570.0,William,Hampton,resign,1,CAR,CAR,,21.0,21.0,,The Carolina Panthers re-signed S William Hampton.,william hampton,william,hampton,S,S,DB,11995,william hampton,william,hampton,CB,CB,DB,29,62,FA,1009,1.0,1.0,1.0,0,1,0,0,0
583,2004-04-22,1441.0,Chris,Watson,sign,1,FA,GB,,1009.0,20.0,,The Green Bay Packers signed DB Chris Watson.,chris watson,chris,watson,DB,,DB,412,chris watson,chris,watson,CB,CB,DB,27,68,FA,1009,1.0,1.0,1.0,0,1,1,0,0
